group_target,group_comp,tile_same,T1_same,T2_same,D1_same,D2_same,same2fold,same3fold,same4fold,same6fold,distance,user_id,task_id,correct
P4G,P2,False,False,False,False,False,True,True,False,True,2,A2602OOFDKNFS8,18487,1
PM,PGG,True,False,False,True,True,False,True,True,True,2,A1TH0PTGDSBWMO,45181,1
PGG,P3M1,False,False,False,False,True,False,False,True,True,3,A2602OOFDKNFS8,30858,1
P4,CMM,False,True,True,False,False,True,True,False,True,2,A1TH0PTGDSBWMO,23341,1
P6,P6M,True,False,False,False,False,True,True,True,True,1,A1TH0PTGDSBWMO,5130,0
PMG,P1,False,False,False,True,True,False,True,True,True,3,A2602OOFDKNFS8,33265,1
P4G,P3M1,False,False,False,True,False,False,False,False,True,3,A1TH0PTGDSBWMO,18053,0
PMM,PGG,True,False,False,True,True,True,True,True,True,2,A2602OOFDKNFS8,38128,1
P4G,P2,False,False,False,False,False,True,True,False,True,2,A1TH0PTGDSBWMO,17853,1
PG,PMG,True,True,False,True,True,False,True,True,True,2,A1TH0PTGDSBWMO,43953,0
P6M,CMM,False,False,False,True,True,True,False,True,False,1,A1TH0PTGDSBWMO,2233,0
P1,P4,False,True,True,True,True,False,True,False,True,2,A2602OOFDKNFS8,52765,1
P6M,P6,True,False,False,False,False,True,True,True,True,1,A1TH0PTGDSBWMO,27,1
